is_practice,cost,payoff_matrix,weights,trial_num,trial_nudge,nudge_index,nudge_type,og_baskets,shown_baskets,participant_id,first_selected_option,selected_option,gross_earnings,net_earnings,chose_nudge,uncovered_values,nudge,cot,source,fs,Unnamed: 0,type,click_values,cost_matrix,weights_deviation,click_cost,experiment_type,num_features,reaction_time,random_data,points_click_cost,points_action_utility,points_metalevel_reward,finish_trys,trial_type,trial_index,time_elapsed,n_prizes,n_baskets,idiosyncracy,n_uncovered,value_first_option_selected,value_final_option_selected,optimal_option
False,2,"[[4, 3, 5, 6, 6], [2, 3, 3, 6, 5], [6, 5, 7, 5, 7], [5, 7, 5, 5, 5], [9, 5, 5, 5, 7]]","[1, 15, 6, 5, 3]",12,control,-1,supersize,5,5,368,3,3,0.0553333327799999,0.0519999994799999,False,"[5, 6, 7, 8, 9]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,18.0,5,166,166,4
False,2,"[[6, 5, 4, 6, 7], [4, 3, 8, 5, 6], [6, 8, 6, 4, 8], [5, 4, 4, 4, 6], [5, 1, 7, 7, 6]]","[3, 2, 5, 16, 4]",13,control,-1,supersize,5,5,368,4,4,0.06433333269,0.0623333327099999,False,"[17, 18, 19]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,20.0,3,193,193,4
False,2,"[[5, 3, 2, 8, 8, 7], [3, 4, 7, 5, 4, 8], [4, 6, 7, 2, 2, 4], [4, 3, 4, 3, 3, 6], [8, 7, 4, 8, 2, 7]]","[3, 2, 5, 10, 10]",14,pre-supersize,0,supersize,5,6,368,0,0,0.05366666613,0.0529999994699999,True,[18],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,16.0,1,161,161,5
False,2,"[[5, 4, 5, 4, 5, 3], [6, 4, 3, 5, 4, 3], [5, 2, 4, 8, 7, 5], [2, 9, 5, 7, 5, 7], [5, 3, 3, 5, 3, 8]]","[2, 8, 3, 16, 1]",15,pre-supersize,4,supersize,5,6,368,4,4,0.04866666618,0.0479999995199999,True,[4],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,24.0,1,146,146,1
False,2,"[[5, 6, 6, 4, 5, 3], [9, 7, 6, 4, 5, 6], [8, 6, 4, 2, 6, 5], [3, 8, 3, 5, 7, 3], [5, 4, 2, 3, 4, 4]]","[16, 4, 5, 4, 1]",16,post-supersize,5,supersize,5,6,368,2,2,0.05133333282,0.04933333284,False,"[2, 0, 8]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,20.0,3,154,154,1
False,2,"[[3, 7, 5, 4, 5, 7], [4, 5, 6, 2, 8, 5]]","[9, 21]",17,pre-supersize,2,supersize,5,6,368,2,2,0.0569999994299999,0.0563333327699999,True,[2],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,12.0,1,171,171,4
False,2,"[[1, 4, 5, 5, 7, 3], [5, 4, 1, 5, 6, 2], [6, 5, 3, 4, 4, 9], [6, 3, 6, 6, 4, 3], [4, 3, 7, 6, 6, 3]]","[1, 6, 7, 12, 4]",18,post-supersize,5,supersize,5,6,368,3,5,0.0419999995799999,0.03933333294,True,"[20, 21, 22, 23]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,14.0,4,159,126,0
False,2,"[[8, 7, 5, 6, 7], [9, 3, 3, 8, 4]]","[9, 21]",19,control,-1,supersize,5,5,368,3,3,0.0739999992599999,0.07066666596,False,"[5, 6, 7, 8, 9]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,12.0,5,222,222,0
False,2,"[[4, 3, 4, 4, 2], [5, 8, 5, 6, 7], [6, 7, 5, 3, 5], [4, 4, 5, 4, 3], [6, 6, 3, 6, 6]]","[2, 8, 13, 2, 5]",20,control,-1,supersize,5,5,368,4,4,0.05366666613,0.05166666615,False,"[12, 13, 14]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,18.0,3,161,161,1
False,2,"[[5, 6, 5, 4, 6], [1, 4, 6, 6, 7]]","[5, 25]",21,control,-1,supersize,5,5,368,2,2,0.0583333327499999,0.0563333327699999,False,"[5, 6, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,20.0,3,175,175,4
False,2,"[[7, 4, 2, 3, 5, 8], [6, 4, 2, 3, 7, 4]]","[6, 24]",22,post-supersize,5,supersize,5,6,368,4,4,0.0659999993399999,0.06199999938,False,"[6, 7, 8, 9, 10, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,18.0,6,198,198,4
False,2,"[[5, 4, 6, 10, 7, 6], [5, 6, 5, 2, 4, 5], [7, 3, 5, 2, 5, 5], [5, 4, 5, 6, 3, 5], [6, 7, 6, 6, 5, 5]]","[4, 7, 4, 4, 11]",23,post-supersize,5,supersize,5,6,368,3,3,0.05066666616,0.0479999995199999,False,"[26, 27, 28, 29]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,12.0,4,152,152,0
False,2,"[[8, 2, 3, 5, 7], [4, 0, 4, 4, 7]]","[4, 26]",24,control,-1,supersize,5,5,368,2,2,0.03866666628,0.03733333296,False,"[6, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,22.0,2,116,116,4
False,2,"[[5, 6, 5, 8, 6, 6], [5, 6, 6, 5, 5, 2]]","[17, 13]",25,pre-supersize,4,supersize,5,6,368,4,4,0.05566666611,0.0549999994499999,True,[10],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,4.0,1,167,167,3
False,2,"[[6, 7, 6, 3, 5, 5], [5, 3, 3, 6, 5, 4]]","[23, 7]",26,pre-supersize,5,supersize,5,6,368,5,5,0.04766666619,0.0469999995299999,True,[11],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,16.0,1,143,143,1
False,2,"[[4, 5, 4, 5, 6, 7], [3, 8, 6, 4, 5, 3], [5, 6, 4, 1, 5, 3], [1, 4, 6, 6, 7, 1], [6, 3, 6, 6, 3, 6]]","[14, 6, 2, 3, 5]",27,post-supersize,5,supersize,5,6,368,4,5,0.05166666615,0.04833333285,True,"[0, 1, 2, 3, 4]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,16.0,5,160,155,4
False,2,"[[6, 6, 5, 5, 6, 2], [5, 6, 7, 4, 2, 4], [5, 2, 10, 4, 4, 5], [5, 4, 6, 2, 5, 4], [7, 5, 5, 6, 3, 4]]","[1, 7, 7, 5, 10]",28,pre-supersize,1,supersize,5,6,368,1,1,0.0439999995599999,0.0433333329,True,[7],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,12.0,1,132,132,2
False,2,"[[6, 5, 3, 6, 10], [5, 6, 5, 5, 4]]","[11, 19]",29,control,-1,supersize,5,5,368,0,0,0.05366666613,0.05233333281,False,"[0, 5]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,8.0,2,161,161,4
False,2,"[[5, 6, 5, 9, 6, 10], [6, 3, 6, 5, 9, 5]]","[22, 8]",30,post-supersize,5,supersize,5,6,368,3,5,0.0866666658,0.0839999991599999,True,"[0, 1, 2, 3]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,14.0,4,238,260,5
False,2,"[[4, 4, 6, 3, 4], [7, 5, 6, 3, 7], [5, 7, 5, 6, 3], [7, 5, 6, 5, 3], [4, 5, 8, 6, 7]]","[9, 1, 5, 6, 9]",31,control,-1,supersize,5,5,368,2,2,0.06433333269,0.06099999939,False,"[0, 1, 2, 3, 4]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,12.0,5,193,193,2
False,2,"[[5, 4, 7, 6, 6, 6], [5, 4, 7, 7, 5, 4], [4, 2, 7, 2, 4, 6], [5, 4, 9, 6, 4, 6], [3, 5, 5, 4, 4, 7]]","[2, 6, 3, 8, 11]",32,post-supersize,5,supersize,5,6,368,2,5,0.05966666607,0.05766666609,True,"[26, 27, 28]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,14.0,3,204,179,2
True,2,"[[5, 1, 5, 4, 8], [4, 4, 4, 4, 4], [7, 2, 5, 5, 3], [3, 5, 5, 4, 3], [7, 7, 4, 6, 4]]","[4, 6, 2, 10, 8]",1,control,-1,supersize,5,5,262,0,0,0.0479999995199999,0.04466666622,False,"[0, 5, 10, 15, 20]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,12.0,5,144,144,0
True,2,"[[8, 2, 4, 7, 3], [5, 3, 4, 6, 6]]","[25, 5]",2,control,-1,supersize,5,5,262,2,2,0.0399999995999999,0.03866666628,False,"[2, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,20.0,2,120,120,0
False,2,"[[5, 3, 3, 9, 5, 5], [6, 5, 5, 9, 6, 6]]","[22, 8]",3,pre-supersize,4,supersize,5,6,262,4,4,0.05266666614,0.0519999994799999,True,[4],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,14.0,1,158,158,3
False,2,"[[3, 4, 3, 5, 3, 5], [5, 5, 5, 1, 3, 4]]","[27, 3]",4,pre-supersize,1,supersize,5,6,262,1,1,0.0409999995899999,0.04033333293,True,[1],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,24.0,1,123,123,5
False,2,"[[5, 6, 4, 5, 3, 7], [5, 4, 6, 8, 4, 7]]","[12, 18]",5,post-supersize,5,supersize,5,6,262,0,5,0.0699999992999999,0.0679999993199999,True,"[0, 6, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,6.0,3,150,210,5
False,2,"[[6, 6, 5, 4, 6], [7, 4, 6, 4, 8], [6, 7, 2, 4, 4], [4, 1, 8, 6, 6], [6, 7, 3, 6, 7]]","[2, 6, 18, 1, 3]",6,control,-1,supersize,5,5,262,1,1,0.0613333327199999,0.05799999942,False,"[10, 11, 12, 13, 14]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,24.0,5,184,184,0
False,2,"[[7, 6, 6, 4, 10, 5], [6, 3, 3, 2, 4, 5]]","[26, 4]",7,post-supersize,5,supersize,5,6,262,0,0,0.06866666598,0.066666666,False,"[0, 6, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,22.0,3,206,206,4
False,2,"[[3, 4, 7, 7, 4, 6], [8, 5, 5, 5, 3, 6]]","[1, 29]",8,pre-supersize,3,supersize,5,6,262,3,3,0.05066666616,0.0499999994999999,True,[9],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,28.0,1,152,152,0
False,2,"[[4, 6, 5, 4, 6, 3], [7, 5, 6, 5, 3, 4]]","[8, 22]",9,post-supersize,5,supersize,5,6,262,0,0,0.06199999938,0.0593333327399999,False,"[0, 6, 1, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,14.0,4,186,186,0
False,2,"[[6, 4, 2, 2, 4], [5, 4, 6, 6, 4], [4, 8, 6, 4, 4], [5, 7, 8, 6, 6], [6, 6, 5, 4, 6]]","[13, 3, 4, 1, 9]",10,control,-1,supersize,5,5,262,0,0,0.0559999994399999,0.05266666614,False,"[1, 2, 3, 4, 0]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,20.0,5,168,168,0
False,2,"[[7, 6, 2, 4, 5, 6], [6, 5, 4, 4, 6, 4], [6, 8, 5, 7, 4, 7], [8, 4, 6, 8, 2, 3], [5, 5, 5, 4, 7, 1]]","[18, 3, 4, 4, 1]",11,pre-supersize,2,supersize,5,6,262,2,2,0.03233333301,0.0296666663699999,True,"[2, 8, 14, 26]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,24.0,4,97,97,0
False,2,"[[8, 7, 5, 6, 6, 1], [2, 4, 5, 3, 3, 3], [6, 4, 5, 8, 4, 4], [7, 10, 4, 5, 2, 3], [1, 5, 8, 7, 7, 2]]","[3, 4, 7, 6, 10]",12,post-supersize,5,supersize,5,6,262,2,2,0.05799999942,0.05466666612,False,"[24, 25, 26, 27, 28]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,10.0,5,174,174,3
False,2,"[[4, 3, 7, 6, 1], [6, 3, 7, 3, 7]]","[10, 20]",13,control,-1,supersize,5,5,262,2,2,0.0699999992999999,0.0679999993199999,False,"[5, 6, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,10.0,3,210,210,2
False,2,"[[7, 5, 5, 5, 7], [5, 5, 6, 4, 5], [4, 10, 3, 7, 3], [4, 3, 3, 6, 4], [3, 3, 1, 4, 7]]","[5, 7, 11, 6, 1]",14,control,-1,supersize,5,5,262,1,1,0.06366666603,0.06099999939,False,"[11, 12, 13, 14]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,12.0,4,191,191,1
False,2,"[[5, 4, 5, 5, 5, 4], [7, 4, 5, 4, 3, 4]]","[20, 10]",15,post-supersize,5,supersize,5,6,262,0,0,0.0566666661,0.05466666612,False,"[0, 6, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,10.0,3,170,170,0
False,2,"[[2, 4, 6, 6, 5, 6], [2, 7, 3, 7, 5, 7]]","[13, 17]",16,pre-supersize,0,supersize,5,6,262,0,0,0.0199999997999999,0.01933333314,True,[6],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,4.0,1,60,60,3
False,2,"[[5, 2, 4, 3, 6, 4], [6, 3, 6, 6, 7, 4], [5, 5, 10, 8, 4, 4], [9, 3, 5, 6, 6, 2], [7, 7, 1, 6, 5, 3]]","[8, 4, 5, 8, 5]",17,pre-supersize,2,supersize,5,6,262,2,2,0.05033333283,0.04766666619,True,"[2, 8, 20, 26]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,8.0,4,151,151,0
False,2,"[[4, 4, 5, 6, 8], [7, 4, 5, 7, 6]]","[11, 19]",18,control,-1,supersize,5,5,262,0,0,0.05899999941,0.05766666609,False,"[0, 5]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,8.0,2,177,177,4
False,2,"[[1, 4, 4, 2, 6], [6, 5, 6, 5, 5], [5, 5, 6, 3, 5], [5, 1, 6, 6, 5], [7, 4, 6, 4, 8]]","[10, 13, 3, 2, 2]",19,control,-1,supersize,5,5,262,2,2,0.0533333327999999,0.0499999994999999,False,"[5, 6, 7, 8, 9]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,22.0,5,160,160,4
False,2,"[[6, 6, 4, 7, 7], [4, 5, 6, 3, 3]]","[2, 28]",20,control,-1,supersize,5,5,262,2,2,0.05866666608,0.0553333327799999,False,"[5, 6, 7, 8, 9]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,26.0,5,176,176,2
False,2,"[[5, 4, 2, 6, 6, 6], [7, 5, 9, 2, 5, 7], [5, 3, 3, 6, 8, 5], [1, 5, 4, 3, 7, 5], [4, 6, 9, 5, 5, 5]]","[2, 4, 12, 9, 3]",21,pre-supersize,3,supersize,5,6,262,3,3,0.04466666622,0.0419999995799999,True,"[9, 15, 21, 27]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,18.0,4,134,134,4
False,2,"[[5, 7, 6, 3, 8, 9], [8, 2, 4, 9, 3, 6], [5, 5, 3, 3, 6, 7], [6, 3, 6, 3, 7, 4], [4, 4, 7, 5, 6, 5]]","[2, 5, 2, 5, 16]",22,post-supersize,5,supersize,5,6,262,4,4,0.05799999942,0.0559999994399999,False,"[28, 27, 4]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,20.0,3,174,174,2
False,2,"[[5, 5, 4, 5, 3, 4], [3, 4, 5, 6, 3, 5], [5, 6, 2, 6, 5, 2], [7, 6, 4, 4, 5, 3], [6, 3, 6, 7, 7, 3]]","[7, 2, 1, 8, 12]",23,post-supersize,5,supersize,5,6,262,3,3,0.0563333327699999,0.05366666613,False,"[28, 27, 21, 3]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,18.0,4,169,169,0
False,2,"[[5, 5, 6, 6, 6, 7], [3, 8, 6, 6, 7, 6], [4, 4, 5, 6, 4, 7], [5, 7, 4, 5, 6, 6], [5, 2, 8, 5, 4, 3]]","[3, 1, 9, 4, 13]",24,pre-supersize,2,supersize,5,6,262,2,2,0.06299999937,0.0603333327299999,True,"[2, 8, 14, 20]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,20.0,4,189,189,2
False,2,"[[5, 7, 4, 4, 5, 6], [2, 10, 5, 5, 4, 3]]","[25, 5]",25,post-supersize,5,supersize,5,6,262,0,5,0.0549999994499999,0.0529999994699999,True,"[0, 6, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,20.0,3,135,165,1
False,2,"[[3, 4, 4, 1, 5], [5, 6, 4, 6, 4], [6, 5, 5, 7, 7], [7, 7, 3, 6, 6], [6, 5, 5, 7, 5]]","[4, 10, 8, 5, 3]",26,control,-1,supersize,5,5,262,3,3,0.0569999994299999,0.0549999994499999,False,"[6, 7, 8]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,12.0,3,171,171,3
False,2,"[[2, 2, 9, 3, 5, 7], [6, 3, 5, 6, 5, 2]]","[17, 13]",27,pre-supersize,1,supersize,5,6,262,1,1,0.02433333309,0.02366666643,True,[1],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,4.0,1,73,73,2
False,2,"[[4, 4, 4, 4, 7, 3], [4, 2, 4, 4, 3, 3], [10, 5, 3, 5, 4, 5], [5, 4, 7, 6, 4, 5], [6, 5, 5, 5, 4, 7]]","[1, 15, 2, 4, 8]",28,post-supersize,5,supersize,5,6,262,0,0,0.05066666616,0.04733333286,False,"[6, 7, 8, 9, 10]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,22.0,5,152,152,0
False,2,"[[8, 2, 2, 7, 7], [4, 4, 4, 4, 5]]","[28, 2]",29,control,-1,supersize,5,5,262,0,0,0.07733333256,0.0759999992399999,False,"[0, 5]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,26.0,2,232,232,0
False,2,"[[7, 7, 5, 3, 4], [4, 6, 6, 6, 5]]","[16, 14]",30,control,-1,supersize,5,5,262,1,1,0.06533333268,0.06266666604,False,"[0, 5, 1, 6]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,2.0,4,196,196,1
False,2,"[[8, 4, 4, 6, 6, 4], [5, 6, 5, 2, 6, 7], [8, 7, 6, 6, 4, 6], [7, 4, 6, 7, 7, 6], [5, 6, 6, 9, 5, 6]]","[6, 17, 4, 1, 2]",31,post-supersize,5,supersize,5,6,262,1,5,0.06166666605,0.05966666607,True,"[7, 8, 9]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,22.0,3,170,185,5
False,2,"[[7, 6, 4, 4, 5, 4], [4, 6, 7, 6, 6, 5], [5, 7, 2, 7, 5, 8], [5, 6, 7, 5, 2, 6], [4, 4, 5, 5, 2, 4]]","[6, 6, 4, 4, 10]",32,pre-supersize,3,supersize,5,6,262,3,3,0.05266666614,0.0499999994999999,True,"[3, 9, 21, 27]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,8.0,4,158,158,1
True,2,"[[5, 4, 4, 6, 6], [6, 8, 5, 5, 5], [5, 3, 3, 6, 7], [6, 5, 6, 3, 4], [6, 4, 5, 6, 5]]","[2, 9, 4, 14, 1]",1,control,-1,supersize,5,5,360,0,0,0.05799999942,0.05466666612,False,"[0, 5, 10, 15, 20]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,22.0,5,174,174,0
True,2,"[[2, 4, 2, 8, 3], [4, 3, 7, 6, 6]]","[4, 26]",2,control,-1,supersize,5,5,360,3,3,0.06266666604,0.0613333327199999,False,"[8, 3]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,22.0,2,188,188,2
False,2,"[[8, 7, 6, 5, 8], [5, 6, 5, 3, 6]]","[16, 14]",3,control,-1,supersize,5,5,360,1,1,0.06533333268,0.06266666604,False,"[0, 5, 1, 6]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,2.0,4,196,196,4
False,2,"[[4, 2, 7, 7, 9, 5], [5, 5, 8, 3, 4, 6]]","[2, 28]",4,pre-supersize,2,supersize,5,6,360,2,2,0.07933333254,0.07866666588,True,[2],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,26.0,1,238,238,2
False,2,"[[3, 6, 5, 6, 3, 4], [2, 6, 6, 8, 4, 4]]","[20, 10]",5,post-supersize,5,supersize,5,6,360,2,2,0.0533333327999999,0.05133333282,False,"[2, 8, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,10.0,3,160,160,3
False,2,"[[4, 4, 3, 2, 6], [8, 4, 5, 6, 3], [3, 5, 4, 5, 6], [4, 4, 8, 5, 6], [6, 4, 7, 2, 6]]","[6, 7, 1, 11, 5]",6,control,-1,supersize,5,5,360,2,2,0.0599999994,0.0566666661,False,"[15, 16, 17, 18, 19]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,12.0,5,180,180,2
False,2,"[[4, 7, 7, 5, 7, 6], [1, 6, 5, 3, 4, 8]]","[25, 5]",7,pre-supersize,3,supersize,5,6,360,3,3,0.0466666662,0.0459999995399999,True,[9],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,20.0,1,140,140,1
False,2,"[[5, 4, 3, 6, 6], [3, 5, 4, 8, 5]]","[8, 22]",8,control,-1,supersize,5,5,360,3,3,0.07466666592,0.07133333262,False,"[5, 6, 7, 8, 9]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,14.0,5,224,224,3
